TV,Radio,Newspaper,Sales
284.3,10.6,6.4,20.0
184.9,21.0,22.0,20.5
112.9,17.4,38.6,11.9
23.8,35.1,65.9,9.2
290.7,4.1,8.5,17.8
19.4,16.0,22.3,6.6
293.6,27.7,1.8,20.7
18.7,12.1,23.4,6.7
134.3,4.9,9.3,14.0
25.6,39.0,9.3,9.5
100.4,9.6,3.6,10.7
80.2,0.0,9.2,11.9
188.4,18.1,25.6,19.9
177.0,33.4,38.7,17.1
125.7,36.9,79.2,15.9
209.6,20.6,10.7,20.9
142.9,29.3,12.6,15.0
184.9,43.9,1.7,20.7
222.4,4.3,49.8,16.7
241.7,38.0,23.2,21.8
17.2,45.9,69.3,12.0
120.5,28.5,14.2,14.2
89.7,9.9,35.7,10.6
191.1,28.7,18.2,17.3
75.5,10.8,6.0,11.9
193.2,18.4,65.7,20.2
85.7,35.8,49.3,13.3
266.9,43.8,5.0,25.4
39.5,41.1,5.8,10.8
261.3,42.7,54.7,24.2
13.2,15.9,49.6,5.6
193.7,35.4,75.6,19.2
296.4,36.3,100.9,23.8
265.6,20.0,0.3,17.4
214.7,24.0,4.0,17.4
149.7,35.6,6.0,17.3
131.7,18.4,34.6,12.9
57.5,32.8,23.5,11.8
240.1,16.7,22.9,20.9
141.3,26.8,46.2,15.5
180.8,10.8,58.4,17.9
97.2,1.5,30.0,13.2
220.5,33.2,37.9,20.1
140.3,1.9,9.0,10.3
255.4,26.9,5.5,19.8
96.2,14.8,38.9,12.3
66.1,5.8,24.2,12.6
239.3,15.5,27.3,20.7
175.7,15.4,2.4,17.1
240.1,7.3,8.7,18.2
17.9,37.6,21.6,8.0
230.1,37.8,69.2,22.1
283.6,42.0,66.2,25.5
171.3,39.7,37.7,16.0
199.1,30.6,38.7,18.3
123.1,34.6,12.4,15.2
131.1,42.8,28.9,16.0
25.1,25.7,43.3,8.5
163.5,36.8,7.4,18.0
248.8,27.1,22.9,18.9
202.5,22.3,31.6,16.6
13.1,0.4,25.6,5.3
4.1,11.6,5.7,3.2
93.9,43.5,50.5,15.3
262.9,3.5,19.5,17.0
228.3,16.9,26.2,20.5
253.8,21.3,30.0,17.6
243.2,49.0,44.3,25.4
239.8,4.1,36.9,17.3
228.0,37.7,32.0,21.5
215.4,23.6,57.6,17.1
239.9,41.5,18.5,23.2
107.4,14.0,10.9,11.5
187.8,21.1,9.5,20.6
206.9,8.4,26.4,17.9
43.0,25.9,20.5,9.6
151.5,41.3,58.5,16.5
137.9,46.4,59.0,15.0
182.6,46.2,58.7,21.2
219.8,33.5,45.1,19.6
156.6,2.6,8.3,15.5
276.7,2.3,23.7,16.8
205.0,45.1,19.6,22.6
66.9,11.7,36.8,9.7
76.4,26.7,22.3,11.8
95.7,1.4,7.4,11.9
120.2,19.6,11.6,13.2
225.8,8.2,56.5,18.4
28.6,1.5,33.0,7.3
68.4,44.5,35.6,13.6
248.4,30.2,20.3,20.2
218.5,5.4,27.4,17.2
109.8,47.8,51.4,16.7
8.6,2.1,1.0,4.8
97.5,7.6,7.2,13.7
210.7,29.5,9.3,18.4
164.5,20.9,47.4,17.5
265.2,2.9,43.0,17.7
281.4,39.6,55.8,24.4
26.8,33.0,19.3,8.8
276.9,48.9,41.8,27.0
36.9,38.6,65.6,10.8
206.8,5.2,19.4,17.2
287.6,43.0,71.8,26.2
102.7,29.6,8.4,14.0
262.7,28.8,15.9,20.2
90.4,0.3,23.2,12.0
199.8,3.1,34.6,16.4
94.2,4.9,8.1,14.0
210.8,49.6,37.7,23.8
227.2,15.8,49.9,19.8
88.3,25.5,73.4,12.9
237.4,5.1,23.5,17.5
136.2,19.2,16.6,13.2
172.5,18.1,30.7,16.4
17.2,4.1,31.6,5.9
59.6,12.0,43.1,9.7
74.7,49.4,45.7,14.7
149.8,1.3,24.3,10.1
166.8,42.0,3.6,19.6
44.5,39.3,45.1,10.4
216.4,41.7,39.6,22.6
44.7,25.8,20.6,10.1
0.7,39.6,8.7,1.6
121.0,8.4,48.7,11.6
187.9,17.2,17.9,19.7
135.2,41.7,45.9,17.2
139.2,14.3,25.6,12.2
110.7,40.6,63.2,16.0
213.4,24.6,13.1,17.0
18.8,21.7,50.4,7.0
232.1,8.6,8.7,18.4
218.4,27.7,53.4,18.0
286.0,13.9,3.7,20.9
109.8,14.3,31.7,12.4
25.0,11.0,29.7,7.2
204.1,32.9,46.0,19.0
217.7,33.5,59.0,19.4
165.6,10.0,17.6,17.6
280.2,10.1,21.4,19.8
